country,gold,silver,bronze,total_medals,population_millions
China,191,37,6,234,1409.7
United States,156,121,30,307,334.9
Russia,106,62,12,180,143.8
South Korea,99,85,28,212,51.8
Hungary,90,177,117,384,9.6
Romania,88,161,112,361,19.0
Vietnam,71,120,86,277,100.4
United Kingdom,59,125,133,317,68.4
Bulgaria,57,133,124,314,6.4
Germany,54,116,95,265,84.5
Iran,53,116,51,220,89.2
Japan,51,100,53,204,123.8
Taiwan,48,107,39,194,23.4
Ukraine,44,77,61,182,38.0
Canada,44,73,98,215,40.1
Poland,37,101,144,282,36.7
Thailand,35,72,55,162,71.7
Australia,31,80,104,215,26.6
Singapore,28,76,75,179,5.9
France,28,74,131,233,68.2
Israel,26,69,108,203,9.8
Turkey,24,77,96,197,85.3
Italy,24,56,82,162,58.8
